video,frame,track_id,confidence,x1,y1,x2,y2
video1.mp4,1,1,0.9129905104637146,783,91,897,417
video1.mp4,1,2,0.7906332612037659,214,122,364,314
video1.mp4,1,3,0.7334544062614441,441,168,624,446
video1.mp4,2,1,0.9111382961273193,783,91,897,417
video1.mp4,2,3,0.7697429060935974,441,169,625,446
video1.mp4,2,2,0.7606164813041687,214,121,363,314
video1.mp4,3,1,0.9094091057777405,784,92,897,417
video1.mp4,3,3,0.7849311828613281,441,169,624,445
video1.mp4,3,2,0.7338406443595886,214,121,363,314
video1.mp4,3,5,0.60481196641922,238,252,392,496
video1.mp4,4,1,0.9066987037658691,784,92,897,416
video1.mp4,4,3,0.7832484841346741,441,169,624,444
video1.mp4,4,2,0.7701706886291504,214,121,364,314
video1.mp4,4,6,0.7021999359130859,19,176,131,422
video1.mp4,4,5,0.655809760093689,238,252,393,497
video1.mp4,5,1,0.9061849117279053,785,92,897,417
video1.mp4,5,2,0.7919327616691589,215,121,364,314
video1.mp4,5,3,0.7767561674118042,441,168,623,444
video1.mp4,5,5,0.6821819543838501,238,253,393,498
video1.mp4,5,6,0.6464534401893616,19,175,131,421
video1.mp4,6,1,0.9045706391334534,785,92,897,417
video1.mp4,6,2,0.7670885920524597,215,121,364,314
video1.mp4,6,3,0.7463151216506958,441,168,627,444
video1.mp4,6,5,0.6670401692390442,238,252,393,498
video1.mp4,6,6,0.6425048112869263,18,175,133,409
video1.mp4,7,1,0.9074757695198059,785,93,897,416
video1.mp4,7,2,0.7604969143867493,216,121,364,314
video1.mp4,7,5,0.7142606973648071,238,252,394,500
video1.mp4,7,3,0.70295649766922,440,168,624,447
video1.mp4,7,6,0.653854489326477,18,175,133,405
video1.mp4,8,1,0.9008957743644714,786,93,897,415
video1.mp4,8,2,0.7608659267425537,216,121,364,314
video1.mp4,8,5,0.7253665924072266,238,252,393,501
video1.mp4,8,3,0.7241900563240051,440,168,625,448
video1.mp4,8,6,0.6813187003135681,18,175,133,406
